Algorithm: MVA
Ni for Peticiones 	Class 	Throughput (Usuarios) 	Residence time (Usuarios) 	Utilization (Usuarios)	Throughput (Red) 	Residence time (Red) 	Utilization (Red)	Throughput (CPU) 	Residence time (CPU) 	Utilization (CPU)	Throughput (Disco) 	Residence time (Disco) 	Utilization (Disco)
160.0	 Peticiones	 113.37353350874714	 1.1	 124.71088685962187	 226.7470670174943	 5.163019075612507E-6	 5.850074329051353E-4	 1587.22946912246	 0.054029820887063956	 1.6890184949772833	 1473.855935613713	 0.2572291361069804	 0.9971667103581697
165.0	 Peticiones	 113.5432428025221	 1.1	 124.89756708277432	 227.0864856050442	 5.163024256498536E-6	 5.85883132861014E-4	 1589.6053992353095	 0.05490040569943146	 1.6915467934882698	 1476.0621564327873	 0.29828526788975174	 0.9986593731777309
170.0	 Peticiones	 113.62617541223513	 1.1	 124.98879295345866	 227.25235082447026	 5.163026819689738E-6	 5.863110651271332E-4	 1590.7664557712917	 0.05543831170503585	 1.6927823085799045	 1477.1402803590568	 0.3406906632274741	 0.999388799482527
175.0	 Peticiones	 113.66471465292292	 1.1	 125.03118611821523	 227.32942930584585	 5.163028021058978E-6	 5.865099276090822E-4	 1591.306005140921	 0.05575011747808638	 1.693356459250608	 1477.641290487998	 0.383860602350462	 0.9997277679054648
180.0	 Peticiones	 113.68205366102185	 1.1	 125.05025902712406	 227.3641073220437	 5.163028564372559E-6	 5.865993968908727E-4	 1591.548751254306	 0.05592189252462891	 1.6936147726722446	 1477.866697593284	 0.42743631802488763	 0.9998802715906883
185.0	 Peticiones	 113.68971470578914	 1.1	 125.05868617636807	 227.3794294115783	 5.163028805081537E-6	 5.866389278818719E-4	 1591.656005881048	 0.05601287791106807	 1.6937289055381994	 1477.966291175259	 0.4712179889749744	 0.9999476536204449
190.0	 Peticiones	 113.69307033533211	 1.1	 125.06237736886533	 227.38614067066422	 5.163028910642984E-6	 5.866562429303136E-4	 1591.7029846946496	 0.056059651394251814	 1.6937788971031174	 1478.0099143593175	 0.5151012420445216	 0.9999771677580834
195.0	 Peticiones	 113.69453489474661	 1.1	 125.06398838422128	 227.38906978949322	 5.16302895673643E-6	 5.866638000568924E-4	 1591.7234885264525	 0.05608315509111303	 1.6938007158456538	 1478.028953631706	 0.5590336987870965	 0.9999900491586032
200.0	 Peticiones	 113.69517329977585	 1.1	 125.06469062975344	 227.3903465995517	 5.163028976831677E-6	 5.866670942268434E-4	 1591.7324261968618	 0.056094759893436125	 1.6938102266888664	 1478.037252897086	 0.602989704151442	 0.9999956641925815
205.0	 Peticiones	 113.69545147909263	 1.1	 125.0649966270019	 227.39090295818525	 5.163028985588355E-6	 5.866685296321179E-4	 1591.7363207072967	 0.05610041097384745	 1.6938143709542557	 1478.0408692282042	 0.646956882173765	 0.999998110893726
210.0	 Peticiones	 113.69557268235422	 1.1	 125.06512995058966	 227.39114536470845	 5.1630289894036895E-6	 5.866691550409478E-4	 1591.7380175529593	 0.05610313240956555	 1.6938161766186304	 1478.0424448706049	 0.6909293248098929	 0.9999991769261052
215.0	 Peticiones	 113.69562548999652	 1.1	 125.06518803899618	 227.39125097999303	 5.163028991066014E-6	 5.86669427528382E-4	 1591.7387568599513	 0.05610443111107413	 1.6938169633373799	 1478.0431313699546	 0.7349042339945692	 0.9999996413909703
220.0	 Peticiones	 113.69564849799777	 1.1	 125.06521334779755	 227.39129699599553	 5.1630289917902785E-6	 5.866695462496685E-4	 1591.7390789719686	 0.05610504617904176	 1.693817306106441	 1478.043430473971	 0.7788802931230585	 0.9999998437557746
225.0	 Peticiones	 113.69565852246889	 1.1	 125.06522437471578	 227.39131704493778	 5.163028992105838E-6	 5.866695979759394E-4	 1591.7392193145645	 0.05610533561106584	 1.6938174554492074	 1478.0435607920956	 0.8228568860779328	 0.999999931925108
230.0	 Peticiones	 113.69566289008405	 1.1	 125.06522917909247	 227.3913257801681	 5.163028992243324E-6	 5.866696205128337E-4	 1591.7392804611768	 0.056105471060945544	 1.693817520517152	 1478.0436175710927	 0.8668337259104417	 0.9999999703400742
